 
                                                                                                                                                                                                                                                                
 
gvkey     datadate     fyear    cik

001004    20160531      2015    0000001750
001045    20151231      2015    0000006201
001050    20151231      2015    0000003197
001072    20160331      2015    0000859163
001075    20151231      2015    0000764622
001076    20151231      2015    0000706688
001078    20151231      2015    0000001800
001094    20150630      2015    0000002034
001104    20151231      2015    0000002098
001117    20151231      2015    0000002186
001121    20151231      2015    0000002178
001161    20151231      2015    0000002488
001177    20151231      2015    0001122304
001177    20151231      2015    0001122304
001209    20150930      2015    0000002969
001210    20160331      2015    0000353184
001230    20151231      2015    0000766421
001234    20151231      2015    0000701288
001254    20151231      2015    0000003453
001257    20151231      2015    0000003499
001257    20151231      2015    0000003499
001266    20150930      2015    0000003545
001274    20151231      2015    0000775368
001274    20151231      2015    0000775368
001300    20151231      2015    0000773840
001327    20150930      2015    0000004127
001356    20151231      2015    0000004281
001380    20151231      2015    0000004447
001393    20160331      2015    0000004457
001410    20151031      2015    0000771497
001414    20151231      2015    0001475922
001414    20151231      2015    0001475922
001439    20151231      2015    0000742126
001447    20151231      2015    0000004962
001447    20151231      2015    0000004962
001449    20151231      2015    0000004977
001449    20151231      2015    0000004977
001487    20151231      2015    0000005272
001487    20151231      2015    0000005272
001526    20151231      2015    0000904163
001526    20151231      2015    0000904163
001545    20151231      2015    0001102238
001545    20151231      2015    0001102238
001554    20160331      2015    0000005768
001559    20151231      2015    0000744825
001562    20160430      2015    0000713425
001585    20151231      2015    0000005981
001598    20151231      2015    0001037868
001602    20151231      2015    0000318154
001613    20151231      2015    0000006176
001618    20160430      2015    0000006207
001618    20160430      2015    0000006207
001632    20151031      2015    0000006281
001633    20150731      2015    0000006284
001659    20151231      2015    0000821026
001661    20151231      2015    0001163739
001678    20151231      2015    0000006769
001686    20160229      2015    0000006845
001690    20150930      2015    0000320193
001704    20151031      2015    0000006951
001706    20150831      2015    0000006955
001712    20151231      2015    0000007039
001722    20151231      2015    0000007084
001743    20151231      2015    0000894405
001773    20151231      2015    0000007536
001783    20151130      2015    0000007623
001794    20150930      2015    0001674862
001820    20160131      2015    0000008146
001823    20151231      2015    0000008063
001837    20151231      2015    0001004155
001860    20150930      2015    0000008411
001864    20160131      2015    0000744187
001878    20160131      2015    0000769397
001891    20150630      2015    0000008670
001906    20151231      2015    0000039677
001913    20151231      2015    0000008818
001919    20150630      2015    0000008858
001920    20151231      2015    0000008868
001926    20160229      2015    0000008947
001949    20150930      2015    0000014846
001949    20150930      2015    0000014846
001968    20151231      2015    0000009092
001976    20151231      2015    0000808362
001979    20151231      2015    0000009326
001982    20151231      2015    0000009346
001982    20151231      2015    0000009346
001988    20151231      2015    0000009389
002002    20151231      2015    0000763901
002002    20151231      2015    0000763901
002005    20151231      2015    0000046195
002005    20151231      2015    0000046195
002019    20151231      2015    0001390777
002019    20151231      2015    0001390777
002044    20151231      2015    0000009892
002049    20151231      2015    0000009984
002052    20150930      2015    0000010048
002080    20151130      2015    0000010329
002086    20151231      2015    0000010456
002101    20150630      2015    0000109563
002111    20150930      2015    0000010795
002124    20151231      2015    0000729580
002136    20151231      2015    0000732712
002154    20151231      2015    0000011199
002176    20151231      2015    0001067983
002176    20151231      2015    0001067983
002184    20160131      2015    0000764478
002220    20151231      2015    0000012208
002259    20151231      2015    0001130464
002269    20160430      2015    0000012659
002270    20151231      2015    0000314808
002271    20151231      2015    0001001606
002282    20160430      2015    0000033769
002285    20151231      2015    0000012927
002312    20151231      2015    0000315213
002337    20151231      2015    0001393066
002342    20150630      2015    0000013573
002352    20150731      2015    0000746598
002390    20151031      2015    0000014177
002393    20150630      2015    0000014195
002403    20151231      2015    0000014272
002435    20160430      2015    0000014693
002436    20160131      2015    0000014707
002444    20151231      2015    0000014930
002448    20151231      2015    0001104657
002497    20151231      2015    0000015615
002504    20151231      2015    0000746838
002536    20160331      2015    0000733269
002538    20151231      2015    0000018396
002547    20151231      2015    0000701221
002547    20151231      2015    0000701221
002556    20160331      2015    0000020629
002558    20151231      2015    0000021175
002558    20151231      2015    0000021175
002573    20150930      2015    0000356037
002574    20151231      2015    0000277948
002577    20151231      2015    0000026058
002581    20151231      2015    0000766792
002593    20150930      2015    0000016040
002596    20150630      2015    0000016058
002615    20160229      2015    0000730255
002628    20151231      2015    0001035201
002663    20150731      2015    0000016732
002698    20151231      2015    0000016875
002710    20160229      2015    0000016918
002751    20150630      2015    0000721371
002771    20151231      2015    0000790051
002783    20151231      2015    0001094093
002787    20150630      2015    0000017843
002807    20160430      2015    0000726958
002811    20151231      2015    0000018172
002817    20151231      2015    0000018230
002818    20160131      2015    0000018255
002820    20160331      2015    0000278166
002829    20151031      2015    0000740664
002859    20151231      2015    0001089819
002884    20151231      2015    0000018926
002940    20151231      2015    0000019411
002942    20150731      2015    0000019446
002953    20151231      2015    0000215419
002960    20151231      2015    0000019584
002968    20151231      2015    0000019617
002968    20151231      2015    0000019617
002986    20151231      2015    0000019745
002991    20151231      2015    0000093410
002999    20151231      2015    0000019871
003007    20150630      2015    0000703351
003026    20151231      2015    0000313927
003028    20151231      2015    0000020212
003036    20151231      2015    0000716133
003062    20160531      2015    0000723254
003093    20151130      2015    0000020740
003107    20151231      2015    0000764065
003121    20150630      2015    0000021076
003138    20151231      2015    0000317540
003144    20151231      2015    0000021344
003153    20151231      2015    0000215466
003157    20150930      2015    0000021510
003158    20151231      2015    0000021535
003169    20151231      2015    0001302573
003170    20151231      2015    0000021665
003203    20150831      2015    0000830524
003221    20151231      2015    0000315293
003221    20151231      2015    0000315293
003226    20151231      2015    0001166691
003231    20151231      2015    0000028412
003231    20151231      2015    0000028412
003238    20151231      2015    0000022356
003238    20151231      2015    0000022356
003243    20151231      2015    0000831001
003243    20151231      2015    0000831001
003246    20150831      2015    0000022444
